,﻿Opportunity ID,Account ID,StageName,IsClosed,IsWon,CreatedDate,Term in Months,Service,Opportunity Type,Product Group,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status,Latitude,Longitude
0,Opp-000001,Acct-000007,Closed - Lost,True,False,7/1/16,12.0,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
1,Opp-000002,Acct-000986,5 - Accepted,True,True,7/1/16,60.0,,New Service,Dark Fiber - Metro,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network,34.0354213,-84.0608807
2,Opp-000002,Acct-000986,5 - Accepted,True,True,7/1/16,60.0,,New Service,Dark Fiber - Metro,Bldg-109003,Atlanta,305 Satellite Blvd NW,Suwanee,GA,30024,250.74,On Zayo Network,34.0363742,-84.0633047
3,Opp-000003,Acct-000011,5 - Accepted,True,True,7/1/16,36.0,,New Service,Dark Fiber - Metro,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
4,Opp-000003,Acct-000011,5 - Accepted,True,True,7/1/16,36.0,,New Service,Dark Fiber - Metro,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,On Zayo Network,33.9338765,-84.3530428
5,Opp-000004,Acct-000143,1 - Working,False,False,7/1/16,,,New Service,Ethernet,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,On Zayo Network,33.783427,-84.388557
6,Opp-000005,Acct-000143,1 - Working,False,False,7/1/16,,,New Service,Wavelengths - Long Haul,Bldg-038068,Atlanta,1055 Spring St NW,Atlanta,GA,30309,185.76,On Zayo Network,33.783427,-84.388557
7,Opp-000006,Acct-000011,1 - Working,False,False,7/1/16,,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
8,Opp-000007,Acct-000011,3 - Committed,False,False,7/1/16,12.0,,New Service,Ethernet,Bldg-038069,Atlanta,1100 Abernathy Rd NE,Atlanta,GA,30328,151.21,On Zayo Network,33.9338765,-84.3530428
9,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,,,New Service,Ethernet,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network,33.7775391,-84.4214611
10,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,,,New Service,Ethernet,Bldg-038242,Atlanta,5600 United Dr SE,Smyrna,GA,30082,426.83,On Zayo Network,33.841315,-84.522539
